group_name,model_name,phrase_id,seen_count,bank_slot_id,sound_id_in_slot,voice_id,voice_type
ballas,BALLAS1,22,1,-1,-1,1,3
ballas,BALLAS1,43,1,-1,-1,1,3
ballas,BALLAS1,67,1,-1,-1,0,3
ballas,BALLAS1,201,1,-1,-1,1,3
ballas,BALLAS1,342,1,-1,-1,1,3
ballas,BALLAS1,343,1,-1,-1,1,3
ballas,BALLAS1,344,1,-1,-1,1,3
ballas,BALLAS2,24,1,23,33,2,3
ballas,BALLAS2,43,1,-1,-1,3,3
ballas,BALLAS2,65,1,-1,-1,3,3
ballas,BALLAS2,342,1,-1,-1,2,3
ballas,BALLAS2,343,1,-1,-1,3,3
ballas,BALLAS2,344,1,-1,-1,2,3
ballas,BALLAS2,347,1,-1,-1,2,3
ballas,BALLAS3,23,1,-1,-1,4,3
ballas,BALLAS3,45,1,24,95,4,3
ballas,BALLAS3,67,1,22,121,4,3
ballas,BALLAS3,74,1,-1,-1,4,3
ballas,BALLAS3,89,1,-1,-1,4,3
ballas,BALLAS3,144,1,-1,-1,4,3
ballas,BALLAS3,343,1,-1,-1,4,3
ballas,BALLAS3,344,1,-1,-1,4,3
police,lapd1,28,1,-1,-1,17,1
police,lapd1,43,1,21,21,20,1
police,lapd1,45,1,-1,-1,13,1
police,lapd1,67,1,-1,-1,18,1
police,lapd1,74,1,-1,-1,14,1
police,lapd1,144,1,-1,-1,13,1
police,lapd1,199,1,23,82,16,1
police,lapd1,220,1,-1,-1,17,1
police,lapd1,340,1,-1,-1,18,1
police,lapd1,342,1,-1,-1,18,1
police,lapd1,343,1,-1,-1,16,1
police,lapd1,344,1,-1,-1,16,1
police,lapd1,345,1,-1,-1,17,1
police,lapd1,346,1,-1,-1,18,1
police,lapdm1,13,1,-1,-1,28,1
police,lapdm1,343,1,-1,-1,27,1
